시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
의정부시도봉구경계~강북도봉구경계                                                   ,의정부시도봉구경계,,"강북,도봉구경계",5560,0,0
송추IC~오봉탐방지원센터                                                             ,송추IC,,송추입구,1100,0,0
원각사입구~의정부시청뒤                                                             ,원각사입구,,의정부시청뒤(안골),4300,0,0
시청IC~원도봉입구                                                                   ,시청IC,,원도봉입구,3800,0,0
거북골~보문능선~도봉주능선                                                          ,거북골,보문능선,도봉주능선,900,0,0
성불사입구~천진사                                                                   ,성불사입구,,천진사,100,0,0
오봉샘~오봉능선                                                                     ,오봉샘,,오봉능선,400,0,0
도봉서원~산정약수터                                                                 ,도봉서원,,산정약수터,200,0,0
17. 영원사~삼불사~약수암                                                            ,영원사,,약수암,5700,0,0
2. 의신마을~세석평전                                                                ,의신마을,,세석평전,8800,360,300
18. 도마마을~삼불사                                                                 ,도마마을,,삼불사,1500,0,0
19. 백무동~두지동                                                                   ,백무동,,두지동,2700,0,0
20. 대원교~숯가마터                                                                 ,대원교,,숯가마터,1000,0,0
21. 중산리탐방안내소~자연관찰로                                                     ,중산리탐방안내소,,자연관찰로,1500,40,40
22. 삼성궁입구~상불재                                                               ,삼성궁입구,,상불재,1800,90,60
23. 신흥~의신옛길                                                                   ,신흥,,의신옛길,3700,0,0
25.연하천삼거리~삼각고지                                                            ,연하천삼거리,,삼각고지,2500,90,70
우이도탐방로                                                                        ,상산봉,,대초리,0.7,20,0
영산도탐방로                                                                        ,당산,천박재,작은재,3,60,30
관매도탐방로                                                                        ,샛배,,돈대봉,2.1,40,30
관매도탐방로                                                                        ,관호마을,,벼락바위,3.6,60,40
관매도선착장                                                                        ,관매선착장,,하늘다리,2.5,45,30
하조도탐방로                                                                        ,하조도등대,신금산,읍구,5.1,90,60
하조도탐방로                                                                        ,산행,돈대봉,읍구,2.3,45,30
천황사지구~도갑사                                                                   ,천황사지구,,도갑사,8600,150,120
구정봉~용암사지~홍계골                                                              ,구정봉,용암사지(마애불),홍계골,3500,90,60
죽정~월대암                                                                         ,죽정,,월대암,600,50,30
하치마을~누릿재~사자저수지                                                          ,하치마을,누릿재,사자저수지,1600,60,0
관매도탐방로                                                                        ,관매습지,독립문바위,방아섬,2.8,45,25
1.진두~덮을개(한산도망산)                                                           ,진두,망산,덮을개,7200,210,140
3.해금강~우제봉~석개해변(거제)                                                      ,해금강,우제봉,석개해변,1500,45,30
4.야소~망산(한산도 망산)                                                            ,야소,,망산,2800,80,50
5.소매물도~매물등대(소매물도)                                                       ,소매물도,,매물등대,1500,45,30
7.선착장~해안선전망대(지심도)                                                       ,지심도선착장,,해안선전망대,1800,54,30
8.당금마을~대항마을(매물도)                                                         ,당금마을,장군봉,대항마을,5200,155,103
9.제승당~염호리(한산도망산)                                                         ,제승당선착장,,염호리776번지,540,24,16
10.구조라선착장~구조라마을(거제)                                                    ,구조라선착장,,구조라마을,2000,60,50
11.수정봉~구조라성(거제)                                                            ,수정봉,,구조라성,220,10,10
16.저구삼거리~망산~명사(거제)                                                       ,저구삼거리,내봉산 망산,명사,5800,174,115
학암포 자연관찰로                                                                   ,학암포 주차장 화장실 맞은편,"학암포 A,B 습지",학암포 B 해변,700,30,30
구천동자연관찰로                                                                    ,덕유산응급구조대사무실,,인월담,1200,20,20
구기 자연관찰로                                                                     ,구기분소,,구기분소~대남문 구간 2.2km,2.2,40,30
내소사자연관찰로                                                                    ,내소사 일주문,전나무숲,내소사 사천왕문,0.6,15,15
하늘재~부봉~마패봉삼거리                                                            ,하늘재,부봉,마폐봉삼거리,8500,300,250
금수산삼거리~상학마을                                                               ,금수산삼거리,,상학마을,0.995,80,50
관매도탐방로                                                                        ,관호마을,,하늘다리,2.5,45,30
흑산도 탐방로                                                                       ,샘골,어울림,마리재,4.7,90,40
관매도 탐방로                                                                       ,장산편마을,독립문바위,방아섬,2.8,50,30
상조도 탐방로                                                                       ,도리산,,도리산전망대,0.2,20,0
관매도 탐방로                                                                       ,관호,,방아섬,4.2,120,60
홍도 자연관찰로                                                                     ,탐방로입구,,당집,0.085,10,0
홍도 자연관찰로                                                                     ,탐방로입구,,당집,0.085,10,0
백운동~만물상~서성재                                                                ,백운동,만물상,서성재,3000,120,90
어의곡자연관찰로                                                                    ,어의곡,,어의곡,0,0,0
어의곡자연관찰로                                                                    ,어의곡,,어의곡,0,0,0
해탈교~상원사(선재길)                                                               ,월정사(해탈교),상원사,상원사,10000,240,240
상원사-내면 명개리                                                                  ,상원사,두로령,내면 명개리,12680,240,240
재백이고개                                                                          ,내소사,관음봉삼거리,재백이고개,2100,90,0
봉래곡                                                                              ,내변산탐방지원센터,실상사,봉래곡삼거리,1400,25,25
가마소                                                                              ,가마소,세봉삼거리,내소사,4200,180,150
탐방로                                                                              ,개암사,,우금암,0.7,40,40
바드재                                                                              ,바드재,옥녀봉,용각봉삼거리,1.9,60,50
세봉                                                                                ,관음봉,세봉,세봉삼거리,1700,40,40
굴바위                                                                              ,내변산탐방지원센터,가마소,굴바위,7400,190,170
봉화봉                                                                              ,격포항,봉화봉,군부대입구,1,50,40
회룡자연관찰로                                                                      ,회룡사,회룡1교량,회룡사,700,40,30
쌍곡-자연관찰로                                                                     ,쌍곡주차장,쌍곡탐방지원센터,야생화단지,1000,15,15
삼봉 자연관찰로(자전거)                                                             ,삼봉B,,기지포,0.3,10,10
조도 탐방로                                                                         ,운림정,신금산,읍구,5.1,90,70
신륵사~신륵사삼거리                                                                 ,신륵사,,신륵사삼거리,2.8,90,60
보덕암~보덕암삼거리(영봉)                                                           ,보덕암,중봉,보덕암삼거리,3700,210,180
내궁기마을~내궁기삼거리                                                             ,내궁기마을,,내궁기삼거리,1400,60,40
상천리~망덕봉~망덕봉삼거리                                                          ,상천리,망덕봉,망덕봉삼거리,3400,120,100
상천리~가은산~옥순대교                                                              ,상천리,가은산,옥순대교,7400,180,150
사문리자연관찰로                                                                    ,사문리,마패봉삼거리,지릅재,1.3,0,0
탐방로(희방주차장~연화봉)                                                           ,희방주차장,,연화봉,2.9,120,90
울산바위탐방로                                                                      ,소공원,흔들바위,울산바위,3.8,150,90
탐방로                                                                              ,부곡 큰무레골,,비로봉,4.1,150,120
탐방로                                                                              ,부곡큰무레골,푯대봉,비로봉,4.1,150,120
탐방로                                                                              ,영원산성,,주능선,1.9,150,120
탐방로                                                                              ,영원산성,,주능선,1.9,150,100
탐방로                                                                              ,영원산성,,주능선,0,150,100
탐방로                                                                              ,영원산성,능선,주능선,1.9,150,100
탐방로                                                                              ,예송,,예송,1.91,240,300
향일암~임포                                                                         ,향일암,,임포,1200,80,60
